encode,decode,key
Ыу. Лпмшорхщтцкцл.6 Тй.466,УЛ. ДЗЕРЖИНСКОГОД.6 КВ.466,25
Юдуебвудашэеюут Жя.Ч.34 Юх.102,КРАСНОАРМЕЙСКАЯ УЛ.Д.34 КВ.102,13
Вг. Сэёкэыатц.60 Эф.107,ПР. ЯКУШКИНАД.60 КВ.107,14
Ф. Аудзьбеюут Жя.Ч.31 Юх.159,Б. МАРФИНСКАЯ УЛ.Д.31 КВ.159,13
Ыу. Игщъшцунъцйзл.81 Тй.107,УЛ. БЫСТРОЛЁТОВАД.81 КВ.107,25
Ёяхтодг Чп.З.77 Оё.232,ВЫСОКАЯ УЛ.Д.77 КВ.232,29
Дешезйпьшзбцх Йв.Ъ.80 Бш.422,НОВОСУЩЁВСКАЯ УЛ.Д.80 КВ.422,10
Эх. Нйбчйин.25 Фл.43,УЛ. ДАЧНАЯД.25 КВ.43,23
Дебюубфтс Ёю.Ц.14 Эф.61,СТОЛБОВАЯ УЛ.Д.14 КВ.61,14
Ъщ. Усъфчкъуст Шнщ.М.73 Ук.65,СР. КИСЛОВСКИЙ ПЕР.Д.73 КВ.65,24
